"Page example using KO in magento 2","Exemplo de página usando KO em magento 2"
"Page for testing KO components","Página para testar os componentes KO"
"Click on the button and see todays date","Clique no botão e veja a data de hoje"
"Click here","Clique aqui"
"Change","Trocar"
"Change date color:","Trocar cor da data:"
"Date color changed to color ","A cor da data foi alterada para cor "
"Below, you can choose a date and interact with it. Lets start?","Abaixo, você poderá escolher uma data e interagir com ela. Vamos começar?"
"Alright, now just change the color","Muito bem, agora é só trocar a cor"
"Todays date: ","Data de hoje: "
